Current Price,Quality,Delivery,Service
4725,4,4,4
5130,5,5,4
4455,3,3,3
4860,5,4,4
4995,5,4,4
4590,4,3,4
4680,4,4,3
4940,4,5,5
4420,3,3,3
4680,4,4,3
4940,4,5,5
4550,3,3,4
4625,4,3,4
5000,5,4,5
4375,3,3,2
4750,4,4,4
4875,5,4,5
4500,4,3,3
4560,4,3,3
4800,4,4,5
4200,2,2,2
4560,4,3,3
4800,4,4,5
4440,3,3,3
4485,3,3,3
4830,5,4,4
4025,2,1,1
4485,3,3,3
4715,4,4,4
4255,2,2,2
4400,3,3,3
4730,4,4,4
4070,2,1,3
4400,3,3,3
4510,4,3,3
4070,2,1,3
4305,3,2,2
4515,4,3,3
4095,2,2,2
4305,3,2,2
4410,3,3,3
4095,2,2,2
